Drug,Primary Indication,Virus,Virus Group,Cell lines,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Approved,Phase IV,Potential target,Mode_of_action,Reference,Virus Family,Virus Name,Viral Strain/Type,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,InChI_Key,Approval Status,Negative Result?
Acetylsalicylic acid,Anti-inflammatory,HCV,(+)ssRNA,*,,,,,,,,Human COX,Downregulates Claudin-1,PMID:26289738,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB00945,2244,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Approved,
Acetylsalicylic acid,Anti-inflammatory,ZIKV,(+)ssRNA,*,,,,,,,,Human COX,Cyclooxygenase inhibitor,PMID:30068645,Flaviviridae,Zika virus,,Zika virus disease,2,DB00945,2244,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,HSV-1,dsDNA,,,,,*,,*,*,Viral DNA pol,Viral DNA polymerase inhibitor,CID: 23709358; NCT01026454; DB00787 ,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,HSV-2,dsDNA,,,,,*,*,*,,Viral DNA pol,Viral DNA polymerase inhibitor,CID: 23709358; NCT00723229; DB00787 ,Herpesviridae,Human alphaherpesvirus 2,,Genital herpes,12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,VZV,dsDNA,,,,,*,*,*,,Viral DNA pol,Viral DNA polymerase inhibitor,CID: 23709358; NCT00209352; DB00787 ,Herpesviridae,Human alphaherpesvirus 3,,Chickenpox (varicella),12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,HPV-6,dsDNA,,,,,*,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID: 30834790,Papillomaviridae,Alphapapillomavirus 10,Human papillomavirus type 6,Genital warts and laryngeal papillomatosis,37,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,HPV-11,dsDNA,,,,,*,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID: 30834790,Papillomaviridae,Alphapapillomavirus 10,Human papillomavirus 11,,,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,CMV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID: 7510619,Herpesviridae,Human betaherpesvirus 5,,Mononucleosis-like illness,12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,EBV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:29899236,Herpesviridae,Human gammaherpesvirus 4,,Infectious mononucleosis,12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Acyclovir,Antiviral,HHV-6,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID: 7510619,Herpesviridae,Human betaherpesvirus 6,,Exanthema subitum,12,DB00787,2022,MKUXAQIIEYXACX-UHFFFAOYSA-N,Approved,
Adefovir,Antiviral,HIV-1,ssRNA-RT,,,,,*,,,,Viral RT,Inhibits viral DNA synthesis,PMID: 10682155,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB13868,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Investigational,
Adefovir,Antiviral,HDV,(-)ssRNA,,,,*,,,,,Viral RT,Inhibits viral DNA synthesis,PMID: 23433964,Kolmioviridae,Hepatitis delta virus,,Hepatitis D,-1,DB13868,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Investigational,
Adefovir,Antiviral,CRPV,dsDNA,,,*,,,,,,Viral RT,Inhibits viral DNA synthesis,PMID: 11114415,Papillomaviridae,Kappapapillomavirus 2,,No disease in human,37,DB13868,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Investigational,
Adefovir,Antiviral,FLUAV,(-)ssRNA,,,*,,,,,,Viral RT,Inhibits viral DNA synthesis,PMID: 7847879,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB13868,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Investigational,
Adefovir,Antiviral,HSV-1,dsDNA,,,*,,,,,,Viral RT,Inhibits viral DNA synthesis,PMID: 2719463,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB13868,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Investigational,
Adefovir dipivoxil,Antiviral,HBV,dsDNA-RT,,,,,,,*,,Viral RNA pol,Viral DNA chain termination,DrugBank ID: DB00718,Hepadnaviridae,Hepatitis B virus,,Hepatitis B,35,DB00718,60871,WOZSCQDILHKSGG-UHFFFAOYSA-N,Approved,
Adefovir dipivoxil,Antiviral,CPXV,dsDNA,*,,,,,,,,Viral RNA pol,Viral DNA chain termination,PMID: 12821467,Poxviridae,Cowpox virus,,Cowpox,5,DB00718,60871,WOZSCQDILHKSGG-UHFFFAOYSA-N,Approved,
Adefovir dipivoxil,Antiviral,VACV,dsDNA,*,,,,,,,,Viral RNA pol,Viral DNA chain termination,PMID: 12821467,Poxviridae,Vaccinia virus,,No disease in human,5,DB00718,60871,WOZSCQDILHKSGG-UHFFFAOYSA-N,Approved,
Alisporivir,Antiviral,HCV,(+)ssRNA,,,,*,*,*,,,Human CYPs,N/A,NCT02753699,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Alisporivir,Antiviral,SARS-CoV-2,(+)ssRNA,,,,,*,,,,Human CYPs,N/A,NCT04608214,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Alisporivir,Antiviral,HCoV-229E,(+)ssRNA,*,,,,,,,,Human CYPs,N/A,PMID:27840112,Coronaviridae,Human coronavirus 229E,,Common cold,8,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Alisporivir,Antiviral,HIV-1,ssRNA-RT,*,,,,,,,,Human CYPs,N/A,PMID:19857522,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Alisporivir,Antiviral,MERS-CoV,(+)ssRNA,*,,,,,,,,Human CYPs,N/A,PMID:27840112,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Alisporivir,Antiviral,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CYPs,N/A,PMID:30014857,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB12139,11513676,OLROWHGDTNFZBH-XEMWPYQTSA-N,Investigational,
Amantadine,Antiviral,FLUAV,(-)ssRNA,,,,,,,*,,Viral RT,Viral DNA chain termination,Drugbank ID: DB00915,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,DENV,(+)ssRNA,,,,,*,,,,Viral RT,Viral DNA chain termination,PMID: 27920420,Flaviviridae,Dengue virus,,Dengue fever,2,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,SARS-CoV-2,(+)ssRNA,,,,,*,,,,Viral RT,Viral DNA chain termination,PMID: 33040252,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,HBV,dsDNA-RT,,,*,,,,,,Viral RT,Viral DNA chain termination,PMID: 25039150,Hepadnaviridae,Hepatitis B virus,,Hepatitis B,35,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,FMDV ,(+)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 25946195,Picornaviridae,Foot-and-mouth disease virus,,Foot and Mouth disease,9,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,HAV,(+)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 2167349,Picornaviridae,Hepatovirus A,Human Hepatitis A virus,Hepatitis A,86,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,HTNV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 18459839,Hantaviridae,Hantaan orthohantavirus,,"Hemorrhagic fever with renal syndrome, Hantavirus pulmonary syndrome",21,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,JUNV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 8031239,Arenaviridae,Argentinian mammarenavirus,,Argentine hemorrhagic fever,0,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,LASV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 2923547,Arenaviridae,Lassa mammarenavirus,,Lassa hemorrhagic fever,0,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,LCMV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 18619367,Arenaviridae,Lymphocytic choriomeningitis mammarenavirus,,Lymphocytic choriomeningitis,0,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,MOPV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 2923547,Arenaviridae,Mopeia mammarenavirus,,No disease in human,0,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,PICV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 2923547,Arenaviridae,Cali mammarenavirus,,No disease in human,0,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,VSV,(-)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 2825623,Rhabdoviridae,Indiana vesiculovirus,,Vesicular stomatitis,11,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amantadine,Antiviral,WNV,(+)ssRNA,*,,,,,,,,Viral RT,Viral DNA chain termination,PMID: 27014219,Flaviviridae,West Nile virus,,West Nile fever,2,DB00915,2130,DKNWSYNQZKUICI-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,CHIKV,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID: 31449523,Togaviridae,Chikungunya virus,,Chikungunya fever,6,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,EBOV,(-)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel inhibitor,PMID: 27161622,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,CVB-3,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:31326561; PMID:2179535; PMID: 24798281,Picornaviridae,Enterovirus B,Coxsackievirus B3,Fever; headache; sore throat; gastroenteritis; pericarditis; myocarditis,9,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,PV-1,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:25058507,Picornaviridae,Enterovirus C,Human poliovirus 1,Poliomyelitis,,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,HRV-A89,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:23913188,Picornaviridae,Rhinovirus A,Rhinovirus A89,Common cold ,86,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,HRV-A2,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:16054245,Picornaviridae,Rhinovirus A,Rhinovirus A2,Common cold ,86,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,HSV-1,dsDNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:25210183,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,JUNV,(-)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:24173224,Arenaviridae,Argentinian mammarenavirus,,Argentine hemorrhagic fever,0,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,KSHV,dsDNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:19279100,Herpesviridae,Human gammaherpesvirus 8,,Kaposi's sarcoma,12,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,LASV,(-)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:24173224,Arenaviridae,Lassa mammarenavirus,,Lassa hemorrhagic fever,0,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,MARV,(-)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:27161622,Filoviridae,Marburg marburgvirus,Marburg virus,Marburg hemorrhagic fever,3,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,MeV,(-)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel爄nhibitor,PMID:28250131,Paramyxoviridae,Measles morbillivirus,,Measles,33,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiloride,Antihypertensive; Treatment of Congestive Heart Failure,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Human ion channel ,Epithelial sodium channel inhibitor,PMID: 34003853,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00594,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,EBOV,(-)ssRNA,*,,,,*,*,,,Human (multiple),Non-competitive ?adrenergic inhibitor,NCT02307591,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,DENV-2,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:30791609,Flaviviridae,Dengue virus,Dengue virus 2,Dengue fever,2,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,HCV,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:23659500,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,HSV-1,dsDNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:21502533,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,RRV,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:30791609,Togaviridae,Ross River virus,,Influenza-like illness and polyarthritis,6,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,SARS-CoV,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:18314540,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,SINV,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:30791609,Togaviridae,Sindbis virus,,Rash and arthritis,6,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,VSV,(-)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:23659500,Rhabdoviridae,Indiana vesiculovirus,,Vesicular stomatitis,11,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,YFV,(+)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID:30791609,Flaviviridae,Yellow fever virus,,Yellow fever,2,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amiodarone,Antiarrhythmic,LUJV,(-)ssRNA,*,,,,,,,,Human (multiple),Non-competitive ?adrenergic inhibitor,PMID: 34203149,Arenaviridae,Lujo mammarenavirus,,Lassa fever-like illness,0,DB01118,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Approved,
Amitriptyline,Antidepressant,FLUAV,(-)ssRNA,,,*,,,,,,Human ion channel ,Block Viral Entry,PMID: 32176725,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB00321,2160,KRMDCWKBEZIMAB-UHFFFAOYSA-N,Approved,
Amitriptyline,Antidepressant,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Human ion channel ,Block Viral Entry,PMID: 33163980,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00321,2160,KRMDCWKBEZIMAB-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,SARS-CoV-2,(+)ssRNA,,,*,,,,,,Human HNMT,Methyltransferase inhibitor,PMID: 33941899,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,ZIKV,(+)ssRNA,*,*,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:28736217,Flaviviridae,Zika virus,,Zika virus disease,2,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,DENV-2,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:24680954,Flaviviridae,Dengue virus,Dengue virus 2,Dengue fever,2,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,EBOV,(-)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30395872,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,HCV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,HSV-1,dsDNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,LASV,(-)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30700611,Arenaviridae,Lassa mammarenavirus,,Lassa hemorrhagic fever,0,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,MERS-CoV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID: 24841273,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,RABV,(-)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Rhabdoviridae,Rabies lyssavirus,,Rabies ,11,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,RRV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Togaviridae,Ross River virus,,Influenza-like illness and polyarthritis,6,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,SARS-CoV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID: 24841273,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,SINV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Togaviridae,Sindbis virus,,Rash and arthritis,6,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,VSV,(-)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Rhabdoviridae,Indiana vesiculovirus,,Vesicular stomatitis,11,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,WNV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:24680954,Flaviviridae,West Nile virus,,West Nile fever,2,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amodiaquine,Antimalarial,YFV,(+)ssRNA,*,,,,,,,,Human HNMT,Methyltransferase inhibitor,PMID:30791609,Flaviviridae,Yellow fever virus,,Yellow fever,2,DB00613,2165,OVCDSSHSILBFBN-UHFFFAOYSA-N,Approved,
Amprenavir,Antiviral,HIV-1,ssRNA-RT,,,,,,,*,,Viral protease,Protease inhibitor,DrugBank ID: DB00701,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB00701,65016,YMARZQAQMVYCKC-OEMFJLHTSA-N,Approved,
Amprenavir,Antiviral,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Viral protease,Protease inhibitor,PMID: 32607508,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00701,65016,YMARZQAQMVYCKC-OEMFJLHTSA-N,Approved,
Anisomycin,Antibiotic,DENV-1,(+)ssRNA,*,,,,,,,,Human ribosome,DNA synthesis inhibitor,PMID: 32081740,Flaviviridae,Dengue virus,Dengue virus 1,Dengue fever,2,DB07374,253602,YKJYKKNCCRKFSL-RDBSUJKOSA-N,Experimental,
Anisomycin,Antibiotic,DENV-2,(+)ssRNA,*,,,,,,,,Human ribosome,DNA synthesis inhibitor,PMID: 32081740,Flaviviridae,Dengue virus,Dengue virus 2,Dengue fever,2,DB07374,253602,YKJYKKNCCRKFSL-RDBSUJKOSA-N,Experimental,
